
Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE pajwang@lengau.chpc.ac.zaregion,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,tissue
SRR27848298,RNA-Seq,102,3639881424,PRJNA1072725,SAMN39751686,1167800879,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23511301,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061559,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061559,female,Bulk brain,SRP487820,Bulk brain
SRR27848299,RNA-Seq,102,3514849926,PRJNA1072725,SAMN39751687,1122321992,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23511300,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061558,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061558,male,Bulk brain,SRP487820,Bulk brain
SRR27848300,RNA-Seq,102,3383320416,PRJNA1072725,SAMN39751688,1080572142,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511299,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061557,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061557,female,Bulk brain,SRP487820,Bulk brain
SRR27848301,RNA-Seq,102,3245686104,PRJNA1072725,SAMN39751689,1015068640,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511298,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061556,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:13:00Z,1,GSM8061556,male,Bulk brain,SRP487820,Bulk brain
SRR27848302,RNA-Seq,102,3324211110,PRJNA1072725,SAMN39751690,1047537191,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511297,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061555,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:13:00Z,1,GSM8061555,male,Bulk brain,SRP487820,Bulk brain
SRR27848303,RNA-Seq,102,3662536134,PRJNA1072725,SAMN39751691,1146780302,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511296,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061554,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061554,female,Bulk brain,SRP487820,Bulk brain
SRR27848304,RNA-Seq,102,3247839630,PRJNA1072725,SAMN39751692,1017744300,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511295,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061553,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061553,female,Bulk brain,SRP487820,Bulk brain
SRR27848305,RNA-Seq,102,3431014392,PRJNA1072725,SAMN39751693,1076489866,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511294,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061552,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061552,female,Bulk brain,SRP487820,Bulk brain
SRR27848306,RNA-Seq,102,3807854106,PRJNA1072725,SAMN39751694,1190168603,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23511293,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061551,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:14:00Z,1,GSM8061551,female,Bulk brain,SRP487820,Bulk brain
SRR27848307,RNA-Seq,102,3581010186,PRJNA1072725,SAMN39751695,1118326603,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23511292,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061550,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061550,female,Bulk brain,SRP487820,Bulk brain
SRR27848308,RNA-Seq,102,3585246450,PRJNA1072725,SAMN39751696,1143673585,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511291,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061549,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061549,male,Bulk brain,SRP487820,Bulk brain
SRR27848309,RNA-Seq,102,3414083310,PRJNA1072725,SAMN39751697,1074839981,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23511290,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061548,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:13:00Z,1,GSM8061548,male,Bulk brain,SRP487820,Bulk brain
SRR27848310,RNA-Seq,102,3481186764,PRJNA1072725,SAMN39751698,1090078494,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23511289,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061547,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:15:00Z,1,GSM8061547,male,Bulk brain,SRP487820,Bulk brain
SRR27848311,RNA-Seq,102,3080016990,PRJNA1072725,SAMN39751699,966254948,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23511288,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061546,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061546,male,Bulk brain,SRP487820,Bulk brain
SRR27848312,RNA-Seq,102,5639608050,PRJNA1072725,SAMN39751700,1746649166,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23511287,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061545,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:15:00Z,1,GSM8061545,male,Bulk brain,SRP487820,Bulk brain
SRR27848313,RNA-Seq,102,3629285970,PRJNA1072725,SAMN39751701,1139838077,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23511286,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061544,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061544,female,Bulk brain,SRP487820,Bulk brain
SRR27848314,RNA-Seq,102,4295752950,PRJNA1072725,SAMN39751702,1341581861,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511285,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061543,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:17:00Z,1,GSM8061543,female,Bulk brain,SRP487820,Bulk brain
SRR27848315,RNA-Seq,102,2943608310,PRJNA1072725,SAMN39751660,938418449,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23511284,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061585,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061585,female,Bulk brain,SRP487820,Bulk brain
SRR27848316,RNA-Seq,102,2690565384,PRJNA1072725,SAMN39751661,878613983,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23511283,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061584,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:11:00Z,1,GSM8061584,male,Bulk brain,SRP487820,Bulk brain
SRR27848317,RNA-Seq,102,3248151954,PRJNA1072725,SAMN39751662,1042695149,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511282,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061583,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:13:00Z,1,GSM8061583,male,Bulk brain,SRP487820,Bulk brain
SRR27848318,RNA-Seq,102,3222432042,PRJNA1072725,SAMN39751663,1029766381,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23511281,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061582,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:14:00Z,1,GSM8061582,male,Bulk brain,SRP487820,Bulk brain
SRR27848319,RNA-Seq,102,3790622430,PRJNA1072725,SAMN39751664,1213986444,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511280,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061581,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061581,female,Bulk brain,SRP487820,Bulk brain
SRR27848320,RNA-Seq,102,3709614540,PRJNA1072725,SAMN39751665,1188304867,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23511279,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061580,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061580,male,Bulk brain,SRP487820,Bulk brain
SRR27848321,RNA-Seq,102,3712133430,PRJNA1072725,SAMN39751666,1184785124,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23511278,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061579,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061579,female,Bulk brain,SRP487820,Bulk brain
SRR27848322,RNA-Seq,102,3330780114,PRJNA1072725,SAMN39751667,1076155082,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23511277,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061578,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061578,female,Bulk brain,SRP487820,Bulk brain
SRR27848323,RNA-Seq,102,3433109166,PRJNA1072725,SAMN39751668,1100221491,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23511276,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061577,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061577,female,Bulk brain,SRP487820,Bulk brain
SRR27848324,RNA-Seq,102,3427773342,PRJNA1072725,SAMN39751669,1096753446,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23511275,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061576,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061576,male,Bulk brain,SRP487820,Bulk brain
SRR27848325,RNA-Seq,102,3442981032,PRJNA1072725,SAMN39751670,1096589289,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511274,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061575,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:13:00Z,1,GSM8061575,female,Bulk brain,SRP487820,Bulk brain
SRR27848326,RNA-Seq,102,3264351084,PRJNA1072725,SAMN39751719,1040231342,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511273,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061526,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061526,female,Bulk brain,SRP487820,Bulk brain
SRR27848327,RNA-Seq,100,10106924384,PRJNA1072725,SAMN39751720,3300394748,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX23511272,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061525,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:27:00Z,1,GSM8061525,female,Bulk brain,SRP487820,Bulk brain
SRR27848328,RNA-Seq,102,9333993174,PRJNA1072725,SAMN39751721,2958136308,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23511271,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061524,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:19:00Z,1,GSM8061524,male,Bulk brain,SRP487820,Bulk brain
SRR27848329,RNA-Seq,101,6329752360,PRJNA1072725,SAMN39751722,2072837029,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511270,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061523,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:20:00Z,1,GSM8061523,male,Bulk brain,SRP487820,Bulk brain
SRR27848330,RNA-Seq,102,8845790574,PRJNA1072725,SAMN39751723,2798158858,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23511269,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061522,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:16:00Z,1,GSM8061522,male,Bulk brain,SRP487820,Bulk brain
SRR27848331,RNA-Seq,102,8307296262,PRJNA1072725,SAMN39751724,2631064163,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23511268,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061521,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:17:00Z,1,GSM8061521,female,Bulk brain,SRP487820,Bulk brain
SRR27848332,RNA-Seq,102,4032681078,PRJNA1072725,SAMN39751725,1285320690,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511267,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061520,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:13:00Z,1,GSM8061520,female,Bulk brain,SRP487820,Bulk brain
SRR27848335,RNA-Seq,101,4159856621,PRJNA1072725,SAMN39751728,1357497227,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX23511264,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061517,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:14:00Z,1,GSM8061517,male,Bulk brain,SRP487820,Bulk brain
